index,sinusoid,sawtooth,triangle
0,512,0,0
1,537,8,16
2,562,16,32
3,587,24,48
4,612,32,64
5,636,40,80
6,660,48,96
7,684,56,112
8,708,64,128
9,731,73,144
10,753,81,160
11,775,89,176
12,796,97,192
13,817,105,208
14,836,113,224
15,855,121,240
16,874,129,256
17,891,137,272
18,907,145,288
19,923,153,304
20,937,161,320
21,951,169,336
22,963,177,352
23,974,185,368
24,985,193,384
25,994,201,400
26,1001,210,416
27,1008,218,432
28,1014,226,448
29,1018,234,464
30,1021,242,480
31,1023,250,496
32,1023,258,512
33,1023,266,528
34,1021,274,544
35,1018,282,560
36,1014,290,576
37,1008,298,592
38,1001,306,608
39,994,314,624
40,985,322,640
41,974,330,656
42,963,338,672
43,951,347,688
44,937,355,704
45,923,363,720
46,907,371,736
47,891,379,752
48,874,387,768
49,855,395,784
50,836,403,800
51,817,411,816
52,796,419,832
53,775,427,848
54,753,435,864
55,731,443,880
56,708,451,896
57,684,459,912
58,660,467,928
59,636,475,944
60,612,484,960
61,587,492,976
62,562,500,992
63,537,508,1007
64,512,516,1023
65,487,524,1007
66,462,532,992
67,437,540,976
68,412,548,960
69,387,556,944
70,363,564,928
71,339,572,912
72,316,580,896
73,293,588,880
74,271,596,864
75,249,604,848
76,227,612,832
77,207,621,816
78,187,629,800
79,168,637,784
80,150,645,768
81,133,653,752
82,116,661,736
83,101,669,720
84,86,677,704
85,73,685,688
86,60,693,672
87,49,701,656
88,39,709,640
89,30,717,624
90,22,725,608
91,15,733,592
92,10,741,576
93,6,749,560
94,2,758,544
95,1,766,528
96,0,774,512
97,1,782,496
98,2,790,480
99,6,798,464
100,10,806,448
101,15,814,432
102,22,822,416
103,30,830,400
104,39,838,384
105,49,846,368
106,60,854,352
107,73,862,336
108,86,870,320
109,101,878,304
110,116,886,288
111,133,895,272
112,150,903,256
113,168,911,240
114,187,919,224
115,207,927,208
116,227,935,192
117,249,943,176
118,271,951,160
119,293,959,144
120,316,967,128
121,339,975,112
122,363,983,96
123,387,991,80
124,412,999,64
125,437,1007,48
126,462,1015,32
127,487,1023,16
